file_name	collection_name	collection_id	selectable	custom_coverage	open_access	collection_url	record_count
degruyter_global_1448-8310_2022-01-11.txt	Pacific Linguistics [PL]	PL-B	yes	no	no		27
degruyter_global_1528-3623_2022-01-11.txt	Symbolism : An International Annual of Critical Aesthetics	SYMB-B	yes	no	no		9
degruyter_global_1529-6466_2022-01-11.txt	Reviews in Mineralogy & Geochemistry	RIMG-B	yes	no	no		87
degruyter_global_1559-0836_2022-01-11.txt	 Metal Ions in Life Sciences	MILS-B	yes	no	no		11
degruyter_global_1610-4226_2022-01-11.txt	Die Geschichte des Deutschen als Fremdsprache	GDF-B	yes	no	no		3
degruyter_global_1611-7468_2022-01-11.txt	GLOBArt	GLOBART-B	yes	no	no		5
degruyter_global_1611-7581_2022-01-11.txt	Texte und Studien zur mittelhochdeutschen Heldenepik	TSM-B	yes	no	no		13
degruyter_global_1612-443X_2022-01-11.txt	Trends in Medieval Philology	TMP-B	yes	no	no		39
degruyter_global_1612-6769_2022-01-11.txt	Approaches to Applied Semiotics [AAS]	AAS-B	yes	no	no		7
degruyter_global_1612-8427_2022-01-11.txt	Narratologia : Contributions to Narrative Theory	NAR-B	yes	no	no		78
degruyter_global_1612-8702_2022-01-11.txt	Linguistik – Impulse & Tendenzen	LIT-B	yes	no	no		94
degruyter_global_1612-9482_2022-01-11.txt	Graz Architecture Magazine	GAM-B	yes	no	no		1
degruyter_global_1613-2149_2022-01-11.txt	Exempla critica : Historisch-kritische Einzelausgaben zur neueren deutschen Literatur	EXC-B	yes	no	no		3
degruyter_global_1613-8961_2022-01-11.txt	Media and Cultural Memory / Medien und kulturelle Erinnerung	MCM-B	yes	no	no		32
degruyter_global_1614-1288_2022-01-11.txt	Baukonstruktionen	BAUKON-B	yes	no	no		31
degruyter_global_1614-3361_2022-01-11.txt	Deuterocanonical and Cognate Literature Yearbook	DCLY-B	yes	no	no		6
degruyter_global_1615-7885_2022-01-11.txt	Europa im Mittelalter : Abhandlungen und Beiträge zur historischen Komparatistik	EMA-B	yes	no	no		39
degruyter_global_1615-7893_2022-01-11.txt	Stiftungsgeschichten	STIFT.GESCH.-B	yes	no	no		10
degruyter_global_1616-0452_2022-01-11.txt	Beiträge zur Altertumskunde	BZA-B	yes	no	no		361
degruyter_global_1616-1157_2022-01-11.txt	Colloquia Raurica	CR-B	yes	no	no		13
degruyter_global_1616-9212_2022-01-11.txt	Veröffentlichungen aus dem Deutschen Bergbau-Museum Bochum	VDBM-B	yes	no	no		8
degruyter_global_1617-0164_2022-01-11.txt	Qualitative Soziologie	QUSO-B	yes	no	no		26
