publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	package_id	status	last_changed
Computer und Recht	0179-1990	2194-4172	2005-01-15	21	1	2019-12-15	35	12	https://www.degruyter.com/openurl?genre=journal&issn=2194-4172		2194-4172		fulltext		Verlag Dr. Otto Schmidt	serial								P	JACP19	current	2022-12-02
Corpus Linguistics and Linguistic Theory	1613-7027	1613-7035	2005-05-20	1	1	2019-10-30	15	2	https://www.degruyter.com/openurl?genre=journal&issn=1613-7035		1613-7035		fulltext		De Gruyter Mouton	serial								P	JACP19	current	2022-12-02
Corrosion Reviews	0334-6005	2191-0316	1987-09-01	7	40604	2019-12-20	37	6	https://www.degruyter.com/openurl?genre=journal&issn=2191-0316		2191-0316		fulltext		De Gruyter	serial								P	JACP19	current	2022-12-02
Das Mittelalter	0949-0345	2196-6869	1996-06-15	1	1	2019-11-20	24	2	https://www.degruyter.com/openurl?genre=journal&issn=2196-6869		2196-6869		fulltext		Akademie Verlag	serial								P	JACP19	current	2022-12-02
Der Islam	0021-1818	1613-0928	1910-01-01	1	1	2019-10-20	96	2	https://www.degruyter.com/openurl?genre=journal&issn=1613-0928		1613-0928		fulltext		De Gruyter	serial								P	JACP19	current	2022-12-02
Deutsche Zeitschrift für Philosophie	0012-1045	2192-1482	1953-02-15	1	1	2019-12-15	67	6	https://www.degruyter.com/openurl?genre=journal&issn=2192-1482		2192-1482		fulltext		De Gruyter (A)	serial								P	JACP19	current	2022-12-02
Deutsche Zeitschrift für Wirtschafts- und Insolvenzrecht	1439-1589	1612-7056	1991-01-01	1	1	2019-11-29	29	12	https://www.degruyter.com/openurl?genre=journal&issn=1612-7056		1612-7056		fulltext		De Gruyter	serial								P	JACP19	current	2022-12-02
Deutsches Dante-Jahrbuch	0070-444X	2194-4059	1867-06-15		1	2019-10-30		94	https://www.degruyter.com/openurl?genre=journal&issn=2194-4059		2194-4059		fulltext		De Gruyter	yearbook								P	JACP19	current	2022-12-02
Diagnosis	2194-8011	2194-802X	2014-01-31	1	1	2019-12-30	6	4	https://www.degruyter.com/openurl?genre=journal&issn=2194-802X		2194-802X		fulltext		De Gruyter	serial								P	JACP19	current	2022-12-02
Dialectologia et Geolinguistica	0942-4040	1867-0903	1993-01-01	1993	Jan	2019-11-20		27	https://www.degruyter.com/openurl?genre=journal&issn=1867-0903		1867-0903		fulltext		De Gruyter Mouton	serial								P	JACP19	current	2022-12-02
Die Aktiengesellschaft	0002-3752	2366-097X	2017-01-09	62	1-2	2019-12-20	64	24	https://www.degruyter.com/openurl?genre=journal&issn=2366-097X		2366-097X		fulltext		Verlag Dr. Otto Schmidt	serial								P	JACP19	current	2022-12-02
Digital Culture & Society	2364-2114	2364-2122	2015-09-30	1	1	2019-11-20	5	2	https://www.degruyter.com/openurl?genre=journal&issn=2364-2122		2364-2122		fulltext		transcript Verlag	serial								P	JACP19	current	2022-12-02
Discrete Mathematics and Applications	0924-9265	1569-3929	1991-01-01	1	1	2019-12-15	29	6	https://www.degruyter.com/openurl?genre=journal&issn=1569-3929		1569-3929		fulltext		De Gruyter	serial								P	JACP19	current	2022-12-02
Drug Metabolism and Personalized Therapy	2363-8907	2363-8915	1980-12-01	3	Dez	2019-12-20	34	4	https://www.degruyter.com/openurl?genre=journal&issn=2363-8915		2363-8915		fulltext		De Gruyter	serial								P	JACP19	current	2022-12-02
editio	0931-3079	1865-9446	1988-01-01	2	2	2019-11-15		33	https://www.degruyter.com/openurl?genre=journal&issn=1865-9446		1865-9446		fulltext		De Gruyter	yearbook								P	JACP19	current	2022-12-02
Elenchos	0392-7342	2037-7177	2005-08-20	26	1	2019-12-20	40	2	https://www.degruyter.com/openurl?genre=journal&issn=2037-7177		2037-7177		fulltext		De Gruyter	serial								P	JACP19	current	2022-12-02
Energy Harvesting and Systems	2329-8774	2329-8766	2014-04-17	1	1-2	2019-07-20	6	3-4	https://www.degruyter.com/openurl?genre=journal&issn=2329-8766		2329-8766		fulltext		De Gruyter	serial								P	JACP19	current	2022-12-02
English and American Studies in German	0071-0490	1865-8946	1969-01-01		1969	2019-11-15		2019	https://www.degruyter.com/openurl?genre=journal&issn=1865-8946		1865-8946		fulltext		De Gruyter	yearbook								P	JACP19	current	2022-06-23
Entrepreneurship Research Journal	2194-6175	2157-5665	2011-01-01	1	1	2019-10-20	9	4	https://www.degruyter.com/openurl?genre=journal&issn=2157-5665		2157-5665		fulltext		De Gruyter	serial								P	JACP19	current	2022-12-02
Epidemiologic Methods	2194-9263	2161-962X	2012-12-01	1	1	2019-12-15	8	1	https://www.degruyter.com/openurl?genre=journal&issn=2161-962X		2161-962X		fulltext		De Gruyter	serial								P	JACP19	current	2022-12-02
Etruscan and Italic Studies	2566-9095	2566-9109	1994-06-20		1	2019-12-20	22	1-2	https://www.degruyter.com/openurl?genre=journal&issn=2566-9109		2566-9109		fulltext		De Gruyter	serial								P	JACP19	current	2022-12-02
European Company and Financial Law Review	1613-2548	1613-2556	2004-03-01	1	1	2019-12-20	16	6	https://www.degruyter.com/openurl?genre=journal&issn=1613-2556		1613-2556		fulltext		De Gruyter	serial								P	JACP19	current	2022-12-02
European Journal of Applied Linguistics	2192-9521	2192-953X	2013-06-15	1	1	2019-09-15	7	2	https://www.degruyter.com/openurl?genre=journal&issn=2192-953X		2192-953X		fulltext		De Gruyter Mouton	serial								P	JACP19	current	2022-12-02
European Journal of Scandinavian Studies	2191-9399	2191-9402	2010-10-20		2008/2010	2019-10-20	49	2	https://www.degruyter.com/openurl?genre=journal&issn=2191-9402		2191-9402		fulltext		De Gruyter	serial								P	JACP19	current	2022-12-02
European Property Law Journal 	2190-8273	2190-8362	2011-11-20	1	1	2019-12-16	8	3	https://www.degruyter.com/openurl?genre=journal&issn=2190-8362		2190-8362		fulltext		De Gruyter	serial								P	JACP19	current	2022-12-02
European Review of Contract Law	1614-9920	1614-9939	1967-02-01	1	Jan	2019-12-12	15	4	https://www.degruyter.com/openurl?genre=journal&issn=1614-9939		1614-9939		fulltext		De Gruyter	serial								P	JACP19	current	2022-12-02
European Tort Law Yearbook 	2190-7773	2190-7781	2009-10-29		2009	2019-09-15		9	https://www.degruyter.com/openurl?genre=journal&issn=2190-7781		2190-7781		fulltext		De Gruyter	yearbook								P	JACP19	current	2022-12-02
Evangelische Theologie	0014-3502	2198-0470	1934-04-16	1	2	2019-12-04	79	6	https://www.degruyter.com/openurl?genre=journal&issn=2198-0470		2198-0470		fulltext		Gütersloher Verlagshaus	serial								P	JACP19	current	2022-12-02
Fabula	0014-6242	1613-0464	1958-01-01	1	1	2019-11-20	60	3-4	https://www.degruyter.com/openurl?genre=journal&issn=1613-0464		1613-0464		fulltext		De Gruyter	serial								P	JACP19	current	2022-12-02
Feministische Studien	0723-5186	2365-9920	2001-05-20	19	1	2019-11-20	37	2	https://www.degruyter.com/openurl?genre=journal&issn=2365-9920		2365-9920		fulltext		De Gruyter	serial								P	JACP19	current	2022-12-02
FinanzRundschau	2567-4765	2567-4897	2005-01-05	87	1	2019-12-20	101	24	https://www.degruyter.com/openurl?genre=journal&issn=2567-4897		2567-4897		fulltext		Verlag Dr. Otto Schmidt	serial								P	JACP19	current	2022-12-02
Folia Linguistica	0165-4004	1614-7308	1967-01-01	1	3-4	2019-11-15	53	s40-s2	https://www.degruyter.com/openurl?genre=journal&issn=1614-7308		1614-7308		fulltext		De Gruyter Mouton	serial								P	JACP19	current	2022-12-02
Forschungsjournal Soziale Bewegungen	2192-4848	2365-9890	2000-03-20	13	1	2019-12-20	32	4	https://www.degruyter.com/openurl?genre=journal&issn=2365-9890		2365-9890		fulltext		De Gruyter Oldenbourg	serial								P	JACP19	current	2022-12-02
Forum for Health Economics & Policy	2194-6191	1558-9544	1998-10-01	1	1	2019-12-15	22	2	https://www.degruyter.com/openurl?genre=journal&issn=1558-9544		1558-9544		fulltext		De Gruyter	serial								P	JACP19	current	2022-12-02
Forum Mathematicum 	0933-7741	1435-5337	1989-01-01	1	Jan	2019-09-30	31	6	https://www.degruyter.com/openurl?genre=journal&issn=1435-5337		1435-5337		fulltext		De Gruyter	serial								P	JACP19	current	2022-12-02
Frequenz	0016-1136	2191-6349	1949-01-01	3	Jan	2019-12-20	73	11-12	https://www.degruyter.com/openurl?genre=journal&issn=2191-6349		2191-6349		fulltext		De Gruyter	serial								P	JACP19	current	2022-12-02
Frühmittelalterliche Studien	0071-9706	1613-0812	1967-01-01	1	1967	2019-11-15		53	https://www.degruyter.com/openurl?genre=journal&issn=1613-0812		1613-0812		fulltext		De Gruyter	yearbook								P	JACP19	current	2022-12-02
George-Jahrbuch	1430-2519	1865-8881	2009-12-20		7 (2008/09)	2013-11-20		10 (2014/15)	https://www.degruyter.com/openurl?genre=journal&issn=1865-8881		1865-8881		fulltext		De Gruyter	yearbook								P	JACP19	current	2022-03-09
Georgian Mathematical Journal	1072-947X	1572-9176	1994-02-01	1	1	2019-12-16	26	4	https://www.degruyter.com/openurl?genre=journal&issn=1572-9176		1572-9176		fulltext		De Gruyter	serial								P	JACP19	current	2022-12-02
German Economic Review	1465-6485	1468-0475	2020-02-20	21	1				https://www.degruyter.com/openurl?genre=journal&issn=1468-0475		1468-0475		fulltext		De Gruyter	serial								P	JACP19	current	2022-12-02
Germanistik	0016-8912	1865-9187	2007-12-01	48	1/2	2019-12-20	60	3-4	https://www.degruyter.com/openurl?genre=journal&issn=1865-9187		1865-9187		fulltext		De Gruyter	serial								P	JACP19	current	2022-12-02
GesundheitsRecht	1610-1197	2194-4229	2005-01-15	2	1	2019-12-15	18	12	https://www.degruyter.com/openurl?genre=journal&issn=2194-4229		2194-4229		fulltext		Verlag Dr. Otto Schmidt	serial								P	JACP19	current	2022-12-02
Global Chinese	2199-4374	2199-4382	2015-04-10	1	1	2019-09-20	5	2	https://www.degruyter.com/openurl?genre=journal&issn=2199-4382		2199-4382		fulltext		De Gruyter	serial								P	JACP19	current	2022-12-02
Global Jurist	2194-5675	1934-2640	2001-11-01	1	1	2019-10-15	19	3	https://www.degruyter.com/openurl?genre=journal&issn=1934-2640		1934-2640		fulltext		De Gruyter	serial								P	JACP19	current	2022-12-02
Glottotheory 	1337-7892	2196-6907	2008-07-20	1	1	2019-12-20	10	1-2	https://www.degruyter.com/openurl?genre=journal&issn=2196-6907		2196-6907		fulltext		De Gruyter (A)	serial								P	JACP19	current	2022-12-02
Helia	1018-1806	2197-0483	2000-06-20	23	33	2019-12-20	42	71	https://www.degruyter.com/openurl?genre=journal&issn=2197-0483		2197-0483		fulltext		De Gruyter	serial								P	JACP19	current	2022-12-02
Historische Zeitschrift	0018-2613	2196-680X	1859-06-20	1-2	1	2019-12-20	309	3	https://www.degruyter.com/openurl?genre=journal&issn=2196-680X		2196-680X		fulltext		De Gruyter Oldenbourg	serial								P	JACP19	current	2022-12-02
Holzforschung	0018-3830	1437-434X	1947-01-01	1	1	2019-12-20	73	12	https://www.degruyter.com/openurl?genre=journal&issn=1437-434X		1437-434X		fulltext		De Gruyter	serial								P	JACP19	current	2022-12-02
Hormone Molecular Biology and Clinical Investigation	1868-1883	1868-1891	2010-03-27		1	2019-12-20	40	1-3	https://www.degruyter.com/openurl?genre=journal&issn=1868-1891		1868-1891		fulltext		De Gruyter	serial								P	JACP19	current	2022-12-02
HTM Journal of Heat Treatment and Materials	1867-2493	2194-1831	1969-02-20	24	1	2019-12-20	74	6	https://www.degruyter.com/openurl?genre=journal&issn=2194-1831		2194-1831		fulltext		De Gruyter	serial								P	JACP19	current	2022-12-02
HUMOR	0933-1719	1613-3722	1988-01-01	1	1	2019-10-19	32	4	https://www.degruyter.com/openurl?genre=journal&issn=1613-3722		1613-3722		fulltext		De Gruyter Mouton	serial								P	JACP19	current	2022-12-02
Iberoromania	0019-0993	1865-9039	1969-01-01		1	2019-11-28		90	https://www.degruyter.com/openurl?genre=journal&issn=1865-9039		1865-9039		fulltext		De Gruyter	serial								P	JACP19	current	2022-12-02
ICL Journal	2306-3734	1995-5855	2017-03-20	11	1	2019-12-20	13	4	https://www.degruyter.com/openurl?genre=journal&issn=1995-5855		1995-5855		fulltext		De Gruyter	serial								P	JACP19	current	2022-12-02
