publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	package_id	status	last_changed
European Tort Law Yearbook 	2190-7773	2190-7781	2009-10-29		2009				https://www.degruyter.com/openurl?genre=journal&issn=2190-7781		2190-7781		fulltext		De Gruyter	yearbook								P	CJP23	current	2022-12-02
Evangelische Theologie	0014-3502	2198-0470	1995-04-16	55	2				https://www.degruyter.com/openurl?genre=journal&issn=2198-0470		2198-0470		fulltext		Gütersloher Verlagshaus	serial								P	CJP23	current	2022-12-02
Evolutionary Studies in Imaginative Culture		2472-9876	2020-05-20	4	1				https://www.degruyter.com/openurl?genre=journal&issn=2472-9876		2472-9876		fulltext		Academic Studies Press	serial								P	CJP23	current	2022-12-02
Fabula	0014-6242	1613-0464	1995-01-01	36	1				https://www.degruyter.com/openurl?genre=journal&issn=1613-0464		1613-0464		fulltext		De Gruyter	serial								P	CJP23	current	2022-12-02
Feministische Studien	0723-5186	2365-9920	2001-05-20	19	1				https://www.degruyter.com/openurl?genre=journal&issn=2365-9920		2365-9920		fulltext		De Gruyter	serial								P	CJP23	current	2022-12-02
FinanzRundschau	2567-4765	2567-4897	2005-01-05	87	1				https://www.degruyter.com/openurl?genre=journal&issn=2567-4897		2567-4897		fulltext		Verlag Dr. Otto Schmidt	serial								P	CJP23	current	2022-12-02
Folia Linguistica	0165-4004	1614-7308	1995-01-01	29	1/2				https://www.degruyter.com/openurl?genre=journal&issn=1614-7308		1614-7308		fulltext		De Gruyter Mouton	serial								P	CJP23	current	2022-12-02
Forschungsjournal Soziale Bewegungen	2192-4848	2365-9890	2000-03-20	13	1				https://www.degruyter.com/openurl?genre=journal&issn=2365-9890		2365-9890		fulltext		De Gruyter Oldenbourg	serial								P	CJP23	current	2022-12-02
Forum for Health Economics & Policy	2194-6191	1558-9544	1998-10-01	1	1				https://www.degruyter.com/openurl?genre=journal&issn=1558-9544		1558-9544		fulltext		De Gruyter	serial								P	CJP23	current	2022-12-02
Forum Mathematicum 	0933-7741	1435-5337	1995-01-01	7	1				https://www.degruyter.com/openurl?genre=journal&issn=1435-5337		1435-5337		fulltext		De Gruyter	serial								P	CJP23	current	2022-12-02
Frequenz	0016-1136	2191-6349	1995-01-01	49	Jan				https://www.degruyter.com/openurl?genre=journal&issn=2191-6349		2191-6349		fulltext		De Gruyter	serial								P	CJP23	current	2022-12-02
Frontiers of Narrative Studies	2509-4882	2509-4890	2017-07-20	3	1				https://www.degruyter.com/openurl?genre=journal&issn=2509-4890		2509-4890		fulltext		De Gruyter	serial								P	CJP23	current	2022-12-02
Frühmittelalterliche Studien	0071-9706	1613-0812	1995-01-01	29	1995				https://www.degruyter.com/openurl?genre=journal&issn=1613-0812		1613-0812		fulltext		De Gruyter	yearbook								P	CJP23	current	2022-12-02
Georgian Mathematical Journal	1072-947X	1572-9176	1995-02-01	2	1				https://www.degruyter.com/openurl?genre=journal&issn=1572-9176		1572-9176		fulltext		De Gruyter	serial								P	CJP23	current	2022-12-02
German Economic Review	1465-6485	1468-0475	2020-02-20	21	1				https://www.degruyter.com/openurl?genre=journal&issn=1468-0475		1468-0475		fulltext		De Gruyter	serial								P	CJP23	current	2022-12-02
Germanistik	0016-8912	1865-9187	2007-12-01	48	1/2				https://www.degruyter.com/openurl?genre=journal&issn=1865-9187		1865-9187		fulltext		De Gruyter	serial								P	CJP23	current	2022-12-02
GesundheitsRecht	1610-1197	2194-4229	2005-01-15	2	1				https://www.degruyter.com/openurl?genre=journal&issn=2194-4229		2194-4229		fulltext		Verlag Dr. Otto Schmidt	serial								P	CJP23	current	2022-12-02
Global Chinese	2199-4374	2199-4382	2015-04-10	1	1				https://www.degruyter.com/openurl?genre=journal&issn=2199-4382		2199-4382		fulltext		De Gruyter	serial								P	CJP23	current	2022-12-02
