publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	package_name	package_id	last_changed	access_start_date	access_end_date	medium	monograph_parent_collection_title	subject_area	status	listprice_eur	language	doi_identifier
A Cultural History of Spanish America		9780520339545							https://www.degruyter.com/openurl?genre=book&isbn=9780520339545	Picón-Salas	9780520339545		fulltext		University of California Press	monograph	1962	2020		5th printing of the 3rd, rev. ed. 1958, Reprint 2020				P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-11-21	2021-01-01		Book		General Interest	current	110,95	eng	10.1525/9780520339545
A Cultural History of the British Empire		9780300268812							https://www.degruyter.com/openurl?genre=book&isbn=9780300268812	MacKenzie	9780300268812		fulltext		Yale University Press	monograph	2022	2022						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-02-07	2022-12-20		Book		General European History	current	127,95	eng	
A Culture of Conspiracy		9780520956520							https://www.degruyter.com/openurl?genre=book&isbn=9780520956520	Barkun	9780520956520		fulltext		University of California Press	monograph	2013	2013		2. ed.				P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-01-09	2021-01-01		Book	Comparative Studies in Religion and Society	Interreligious Studies	current	159,95	eng	10.1525/9780520956520
A. D. Momigliano		9780520914780							https://www.degruyter.com/openurl?genre=book&isbn=9780520914780		9780520914780		fulltext		University of California Press	monograph	1994	1994		Reprint 2019	Cornell			P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-11-21	2021-01-01		Book		General Interest	current	110,95	eng	10.1525/9780520914780
A Dark Inheritance		9780300240979							https://www.degruyter.com/openurl?genre=book&isbn=9780300240979	Newman	9780300240979		fulltext		Yale University Press	monograph	2018	2018						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-02-07	2021-01-01		Book		Modern History 	current	127,95	eng	10.12987/9780300240979
A Deadly Legacy		9780300231236							https://www.degruyter.com/openurl?genre=book&isbn=9780300231236	Grady	9780300231236		fulltext		Yale University Press	monograph	2017	2017						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-02-07	2021-01-01		Book		General European History	current	58,95	eng	10.12987/9780300231236
A Death in Delhi		9780520376700							https://www.degruyter.com/openurl?genre=book&isbn=9780520376700		9780520376700		fulltext		University of California Press	monograph	1972	2020		Reprint 2020				P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-11-21	2021-01-01		Book	UNESCO collection of representative works Indian series : 46	General Interest	current	110,95	eng	10.1525/9780520376700
A Decision Method for Elementary Algebra and Geometry		9780520348097							https://www.degruyter.com/openurl?genre=book&isbn=9780520348097	Tarski	9780520348097		fulltext		University of California Press	monograph	1951	2020		2nd, rev. ed., Reprint 2020				P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-11-21	2021-01-01		Book		General Interest	current	110,95	eng	10.1525/9780520348097
A Delicate Aggression		9780300245004							https://www.degruyter.com/openurl?genre=book&isbn=9780300245004	Dowling	9780300245004		fulltext		Yale University Press	monograph	2019	2019						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-02-07	2021-01-01		Book		Phonetics	current	68,95	eng	10.12987/9780300245004
A Democratic South Africa?		9780520328884							https://www.degruyter.com/openurl?genre=book&isbn=9780520328884	Horowitz	9780520328884		fulltext		University of California Press	monograph	1991	1991		Reprint 2019				P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-11-21	2021-01-01		Book	Perspectives on Southern Africa	Africa	current	110,95	eng	10.1525/9780520328884
A Descriptive Catalogue of the Music of Charles Ives		9780300242331							https://www.degruyter.com/openurl?genre=book&isbn=9780300242331	Sinclair	9780300242331		fulltext		Yale University Press	monograph	1999	2022						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-06-07	2022-06-07		Book		Music, general	current	244,95	eng	10.12987/9780300242331
A Detroit Story		9780520974487							https://www.degruyter.com/openurl?genre=book&isbn=9780520974487	Herbert	9780520974487		fulltext		University of California Press	monograph	2021	2021						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-01-20	2021-03-16		Book		Urban and Spatial Sociology	current	334,95	eng	10.1525/9780520974487
A Diagram for Fire		9780520967410							https://www.degruyter.com/openurl?genre=book&isbn=9780520967410	Bialecki	9780520967410		fulltext		University of California Press	monograph	2017	2017						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-01-09	2021-01-01		Book	The Anthropology of Christianity	Biological Anthropology	current	334,95	eng	10.1525/9780520967410
A Different Democracy		9780300210705							https://www.degruyter.com/openurl?genre=book&isbn=9780300210705	Taylor	9780300210705		fulltext		Yale University Press	monograph	2014	2014						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-02-07	2021-01-01		Book		Political Science, other	current	48,95	eng	10.12987/9780300210705
A Different Shade of Colonialism		9780520928466							https://www.degruyter.com/openurl?genre=book&isbn=9780520928466	Powell	9780520928466		fulltext		University of California Press	monograph	2003	2003						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-01-20	2021-01-01		Book	Colonialisms	Ancient Near Eastern Studies	current	443,95	eng	10.1525/9780520928466
A Difficult Death		9780300233636							https://www.degruyter.com/openurl?genre=book&isbn=9780300233636		9780300233636		fulltext		Yale University Press	monograph	2017	2017						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-02-07	2021-01-01		Book		Literary Studies, general	current	58,95	eng	10.12987/9780300233636
A Difficult Soul: Zinaida Gippius		9780520312289							https://www.degruyter.com/openurl?genre=book&isbn=9780520312289		9780520312289		fulltext		University of California Press	monograph	1980	2020		Translation of Tiazhelaia dusha., Reprint 2020				P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-11-21	2021-01-01		Book	Documentary studies in modern Russian poetry : Memoirs, biographies, and critical views, in newly translated editions, by and about the exceptional men and women of the early twentieth-century renascence in Russian poetry	General Interest	current	110,95	eng	10.1525/9780520312289
A Diplomatic History of the American Revolution		9780300162172							https://www.degruyter.com/openurl?genre=book&isbn=9780300162172	Peretz	9780300162172		fulltext		Yale University Press	monograph	1991	1991						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-06-03	2021-01-01		Book		Global History	current	50,95	eng	10.12987/9780300162172
A Dirty South Manifesto		9780520971202							https://www.degruyter.com/openurl?genre=book&isbn=9780520971202	Stallings	9780520971202		fulltext		University of California Press	monograph	2019	2019						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-01-20	2021-01-01		Book	American Studies Now: Critical Histories of the Present	Exile History	current	443,95	eng	10.1525/9780520971202
A Dream Denied		9780520964617							https://www.degruyter.com/openurl?genre=book&isbn=9780520964617	Soyer	9780520964617		fulltext		University of California Press	monograph	2016	2016						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-01-20	2021-01-01		Book		Sociology, other	current	334,95	eng	10.1525/9780520964617
A Dubious Past		9780520921917							https://www.degruyter.com/openurl?genre=book&isbn=9780520921917	Neaman	9780520921917		fulltext		University of California Press	monograph	1999	1999		Reprint 2019				P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-11-21	2021-01-01		Book	Weimar and Now: German Cultural Criticism	General European History	current	110,95	eng	10.1525/9780520921917
A Family Sketch and Other Private Writings		9780520959637							https://www.degruyter.com/openurl?genre=book&isbn=9780520959637	Twain	9780520959637		fulltext		University of California Press	monograph	2014	2014						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-01-20	2021-01-01		Book	Jumping Frogs: Undiscovered, Rediscovered, and Celebrated Writings of Mark Twain	General Interest	current	138,95	eng	10.1525/9780520959637
A Few Good Gays		9780520382701							https://www.degruyter.com/openurl?genre=book&isbn=9780520382701	Connell	9780520382701		fulltext		University of California Press	monograph	2022	2022						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-01-20	2022-12-06		Book		Gender Theory	current	334,95	eng	
